


Prop0 Cog6 ok
demo

P-part  I-part  d-part  pwm-value     Encoder-count
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-1200   0       0       100000  604
-900    300     300     100000  603
-900    0       -300    100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-900    0       0       100000  603
-600    300     300     100000  602
-600    0       -300    100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-600    0       0       100000  602
-300    300     300     100000  601
-300    0       -300    100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
-300    0       0       100000  601
0       300     300     0       600
0       0       -300    0       600
0       0       0       0       600
0       0       0       0       600
0       0       0       0       600
0       0       0       0       600
0       0       0       0       600
0       0       0       0       600
0       0       0       0       600
0       0       0       0       600
1050000         300000  75000   800000  600
1049300         -200    -75050  800000  602
1047200         -600    -100    800000  608
1042300         -1400   -200    800000  614
1040200         -600    200     800000  616
1038800         -400    50      800000  620
1036000         -800    -100    800000  620
1035300         -200    150     800000  621
1034600         -200    0       800000  620
1036000         400     150     800000  624
1031800         -1200   -400    800000  632
1029000         -800    100     800000  631
1029000         0       200     800000  633
1025500         -1000   -250    800000  636
1022000         -1000   0       800000  640
1022000         0       250     800000  638
1022000         0       0       800000  644
1017100         -1400   -350    800000  652
1012200         -1400   0       800000  655
1009400         -800    150     800000  658
1008000         -400    100     800000  665
1004500         -1000   -150    800000  664
1005200         200     300     800000  668
999600  -1600   -450    800000  676
996800  -800    200     800000  676
994000  -800    0       800000  682
991900  -600    50      800000  684
989800  -600    0       800000  688
989100  -200    100     800000  690
984900  -1200   -250    800000  696
980700  -1200   0       800000  701
977200  -1000   50      800000  704
975800  -400    150     800000  710
968800  -2000   -400    800000  714
971600  800     700     800000  714
967400  -1200   -500    800000  724
963200  -1200   0       800000  727
961800  -400    200     800000  730
957600  -1200   -200    800000  738
952000  -1600   -100    800000  740
953400  400     500     800000  740
949200  -1200   -400    800000  750
943600  -1600   -100    800000  754
940800  -800    200     800000  758
938000  -800    0       800000  764
935200  -800    0       800000  768
931700  -1000   -50     800000  772
926800  -1400   -100    800000  779
924000  -800    150     800000  782
919800  -1200   -100    800000  788
917000  -800    100     800000  788
918400  400     300     800000  787
920500  600     50      800000  790
914200  -1800   -600    800000  798
912800  -400    350     800000  803
908600  -1200   -200    800000  806
905100  -1000   50      800000  806
907200  600     400     800000  809
902300  -1400   -500    800000  817
898800  -1000   100     800000  817
898800  0       250     800000  820
893900  -1400   -350    800000  828
887600  -1800   -100    800000  830
886200  -400    350     800000  842
877800  -2400   -500    800000  848
876400  -400    500     800000  851
875000  -400    0       800000  853
872900  -600    -50     800000  854
873600  200     200     800000  858
868000  -1600   -450    800000  862
865200  -800    200     800000  862
868000  800     400     800000  864
865200  -800    -400    800000  872
855400  -2800   -500    800000  880
852600  -800    500     800000  888
847000  -1600   -200    800000  891
848400  400     500     800000  893
844200  -1200   -400    800000  892
842800  -400    200     800000  899
839300  -1000   -150    800000  908
833000  -1800   -200    800000  914
830200  -800    250     800000  914
830200  0       200     800000  916
828800  -400    -100    800000  922
824600  -1200   -200    800000  928
817600  -2000   -200    800000  936
812000  -1600   100     800000  938
811300  -200    350     800000  944
807100  -1200   -250    800000  948
805000  -600    150     800000  953
802200  -800    -50     800000  962
798000  -1200   -100    800000  963
795200  -800    100     800000  965
791700  -1000   -50     800000  968
791000  -200    200     800000  974
786800  -1200   -250    800000  980
784000  -800    100     800000  980
783300  -200    150     800000  986
777700  -1600   -350    800000  988
778400  200     450     800000  988
776300  -600    -200    800000  996
770000  -1800   -300    800000  998
768600  -400    350     800000  1004
765800  -800    -100    800000  1006
763000  -800    0       800000  1012
760200  -800    0       800000  1018
755300  -1400   -150    800000  1024
753200  -600    200     800000  1022
