ServoDMN29BM36G-005
12P/R(Pulse/Rotation)
Typ74R/M(Rotation/Minute)
Reduction gear 50:1
MotorPowerÅ@24V
EncoderPower 5V
rpm=60sec/T*600=8000000/T
T is 1cycle time for phaseA.


Prop0 Cog6 ok
demo
sum of PID
  |     pwm value
  |      |     position
  |      |      |      rpm
  |      |      |       |
322910 800000   8914    88
312190 800000   8949    85
301190 800000   8984    88
291420 800000   9019    86
280690 800000   9054    87
270200 800000   9089    85
259700 800000   9124    86
249200 800000   9159    86
238700 800000   9194    86
228200 800000   9229    88
217700 800000   9264    86
207200 800000   9299    88
196700 800000   9334    86
186200 800000   9369    88
175700 800000   9404    86
165200 800000   9439    88
154700 800000   9474    85
144200 800000   9509    86
133700 800000   9544    86
123200 800000   9579    86
112700 800000   9614    88
102200 800000   9649    86
91700 800000    9683    88
81200 800000    9718    86
70700 800000    9753    88
60200 800000    9788    86
49700 800000    9823    88
39200 800000    9858    85
28700 800000    9893    86
18200 800000    9928    86
7700 616000     9962    86
-2800 224000    9996    72
-5650 452000    10009   38
-2620 209600    10007   11
1190 95200      10000   17
650 52000       9999    17
280 50000       9999    17
-210 0  10000   17
10 0    10000   17
0 0     10000   17
0 0     10000   17
0 0     10000   17
0 0     10000   17
0 0     10000   17
0 0     10000   17
0 0     10000   17
0 0     10000   17

CON:Prop0 Cog0 RESET - last status: 0 ok
Prop0 Cog6 ok

CON:Prop0 Cog1 RESET - last status: 0 ok

Prop0 Cog6 ok
sc
0 items cleared
Prop0 Cog6 ok
